Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 55.70      0.44     0.44 44737526     0.00     0.00  sample_img_wrapper
 30.38      0.68     0.24      589     0.41     1.15  render_triangle_wrap
  8.86      0.75     0.07       62     1.13     1.13  join_surfaces
  2.53      0.77     0.02       62     0.32     0.32  draw_rectangle_raster
  1.27      0.78     0.01       31     0.32     0.32  moveplayer
  1.27      0.79     0.01                             ft_lstapp
  0.00      0.79     0.00   188546     0.00     0.00  blend_colors_alpha
  0.00      0.79     0.00   154969     0.00     0.00  calc_step_texture
  0.00      0.79     0.00    11196     0.00     0.00  list_push
  0.00      0.79     0.00    11194     0.00     0.00  free_list_node
  0.00      0.79     0.00     9393     0.00     0.00  vector2_fdist_to_plane
  0.00      0.79     0.00     8091     0.00     0.00  point_add
  0.00      0.79     0.00     6665     0.00     0.00  quaternion_mul_matrix
  0.00      0.79     0.00     5911     0.00     0.00  parse_face
  0.00      0.79     0.00     4496     0.00     0.00  vector3_dot
  0.00      0.79     0.00     4342     0.00     0.00  vector3_magnitude
  0.00      0.79     0.00     4309     0.00     0.00  vector2_normalise
  0.00      0.79     0.00     3534     0.00     0.00  vector2_dot
  0.00      0.79     0.00     3334     0.00     0.00  parse_vertex
  0.00      0.79     0.00     3131     0.00     0.00  point_clip_triangle_against_plane
  0.00      0.79     0.00     3008     0.00     0.00  vector3_add
  0.00      0.79     0.00     2604     0.00     0.00  draw
  0.00      0.79     0.00     2418     0.00     0.00  vector3_div
  0.00      0.79     0.00     2418     0.00     0.00  vector3_negative
  0.00      0.79     0.00     2327     0.00     0.00  vector3_sub
  0.00      0.79     0.00     2232     0.00     0.00  vector2_to_texture
  0.00      0.79     0.00     2232     0.00     0.00  vector3_fdist_to_plane
  0.00      0.79     0.00     2201     0.00     0.00  drawline
  0.00      0.79     0.00     2139     0.00     0.00  lerp_texture
  0.00      0.79     0.00     2079     0.00     0.00  vector3_normalise
  0.00      0.79     0.00     1941     0.00     0.00  vector2_zero
  0.00      0.79     0.00     1911     0.00     0.00  parse_uv
  0.00      0.79     0.00     1615     0.00     0.00  matrix_zero
  0.00      0.79     0.00     1519     0.00     0.00  lerp_point
  0.00      0.79     0.00     1178     0.00     0.00  vector2_line_intersect_plane
  0.00      0.79     0.00      930     0.00     0.00  draw_rect_tri
  0.00      0.79     0.00      807     0.00     0.00  vector3_crossproduct
  0.00      0.79     0.00      806     0.00     0.00  triangle_to_screenspace_point_triangle
  0.00      0.79     0.00      775     0.00     0.00  calc_points_step
  0.00      0.79     0.00      744     0.00     0.00  clip_triangle_against_plane
  0.00      0.79     0.00      744     0.00     0.00  triangle_to_viewspace
  0.00      0.79     0.00      620     0.00     0.00  lerp_quaternion
  0.00      0.79     0.00      589     0.00     0.00  sort_point_tris
  0.00      0.79     0.00      558     0.00     0.00  ft_swap
  0.00      0.79     0.00      527     0.00     0.00  matrix_makerotationy
  0.00      0.79     0.00      527     0.00     0.00  matrix_makerotationz
  0.00      0.79     0.00      527     0.00     0.00  vector3_mul_vector3
  0.00      0.79     0.00      496     0.00     0.00  line_intersect_plane
  0.00      0.79     0.00      496     0.00     0.00  matrix_makerotationx
  0.00      0.79     0.00      496     0.00     0.00  quaternion_rotate_euler
  0.00      0.79     0.00      496     0.00     0.00  transformed_vector3
  0.00      0.79     0.00      434     0.00     0.00  join_text_to_surface
  0.00      0.79     0.00      434     0.00     0.00  print_text
  0.00      0.79     0.00      403     0.00     0.00  drawrectangle
  0.00      0.79     0.00      403     0.00     0.00  print_text_colored
  0.00      0.79     0.00      248     0.00     0.00  pointrectanglecollision
  0.00      0.79     0.00      248     0.00     0.00  sort_quat_tex_by_dist
  0.00      0.79     0.00      186     0.00     0.00  gui_label
  0.00      0.79     0.00      186     0.00     0.00  join_text_boxed_to_surface
  0.00      0.79     0.00      186     0.00     0.00  print_text_boxed
  0.00      0.79     0.00      157     0.00     0.00  vector3_mul
  0.00      0.79     0.00      155     0.00     0.00  gui_int
  0.00      0.79     0.00      155     0.00     0.00  point_sub
  0.00      0.79     0.00      124     0.00     0.00  clip_quad_to_triangles
  0.00      0.79     0.00      124     0.00     0.00  clip_triangle
  0.00      0.79     0.00      124     0.00     0.00  gui_button
  0.00      0.79     0.00      124     0.00     0.00  point_one
  0.00      0.79     0.00       93     0.00     0.00  gui_labeled_int
  0.00      0.79     0.00       91     0.00     0.00  vector2_mul
  0.00      0.79     0.00       63     0.00     0.00  vector3_zero
  0.00      0.79     0.00       62     0.00     0.00  clipped_point_triangle
  0.00      0.79     0.00       62     0.00     0.00  draw_rectangle_filled
  0.00      0.79     0.00       62     0.00     0.00  gui_end
  0.00      0.79     0.00       62     0.00     0.32  gui_start
  0.00      0.79     0.00       62     0.00     0.00  render_buffer
  0.00      0.79     0.00       62     0.00    10.97  render_buffer_triangles
  0.00      0.79     0.00       62     0.00    10.97  render_entity
  0.00      0.79     0.00       62     0.00    10.97  render_quaternions
  0.00      0.79     0.00       62     0.00     0.00  render_worldspace
  0.00      0.79     0.00       62     0.00     0.00  update_deltatime
  0.00      0.79     0.00       38     0.00     0.00  parsemat
  0.00      0.79     0.00       36     0.00     0.00  list_to_ptr
  0.00      0.79     0.00       32     0.00     0.00  draw_triangle
  0.00      0.79     0.00       32     0.00     0.00  matrix_lookat
  0.00      0.79     0.00       32     0.00     0.00  matrix_quickinverse
  0.00      0.79     0.00       31     0.00     0.00  drawcircle
  0.00      0.79     0.00       31     0.00     0.00  editor_events
  0.00      0.79     0.00       31     0.00     0.00  gui_endhorizontal
  0.00      0.79     0.00       31     0.00     0.00  gui_float_slider
  0.00      0.79     0.00       31     0.00     0.00  gui_int_slider
  0.00      0.79     0.00       31     0.00     0.00  gui_labeled_float_slider
  0.00      0.79     0.00       31     0.00     0.00  gui_labeled_int_slider
  0.00      0.79     0.00       31     0.00     0.00  gui_labeled_point
  0.00      0.79     0.00       31     0.00     0.00  gui_starthorizontal
  0.00      0.79     0.00       31     0.00     0.00  lookdirection
  0.00      0.79     0.00       31     0.00     0.00  point_div
  0.00      0.79     0.00       31     0.00     0.00  point_fmul
  0.00      0.79     0.00       31     0.00     0.00  render_start
  0.00      0.79     0.00       31     0.00     0.00  rescale_surface
  0.00      0.79     0.00       31     0.00     0.00  screen_blank
  0.00      0.79     0.00       31     0.00     0.32  update_editor_toolbar
  0.00      0.79     0.00       31     0.00    10.97  update_entitycache
  0.00      0.79     0.00       31     0.00     0.00  update_render
  0.00      0.79     0.00       31     0.00    22.26  update_world3d
  0.00      0.79     0.00       31     0.00     0.00  updateguntransform
  0.00      0.79     0.00       31     0.00     0.00  vector3_clamp_magnitude
  0.00      0.79     0.00       31     0.00     0.00  vector3_up
  0.00      0.79     0.00       30     0.00     0.00  point_to_vector2
  0.00      0.79     0.00       30     0.00     0.00  updateinput
  0.00      0.79     0.00       30     0.00     0.00  vector2_add
  0.00      0.79     0.00       19     0.00     0.00  pngparse
  0.00      0.79     0.00       19     0.00     0.00  pngtosimpleimg
  0.00      0.79     0.00       19     0.00     0.00  point_zero
  0.00      0.79     0.00       19     0.00     0.00  readdat
  0.00      0.79     0.00       19     0.00     0.00  readpalette
  0.00      0.79     0.00       19     0.00     0.00  sample_ouroboros
  0.00      0.79     0.00       10     0.00     0.00  iskey
